unit,sex,age,icd10,geo\time	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
RT,T,TOTAL,I20-I25,HU33	409.49 	401.06 	394.7 	386.7 	385.63 	379.98 	381.54 	377.08 
RT,T,TOTAL,I20-I25,IE04	: 	: 	165.97 	159.77 	151.95 	144.7 	135.44 	131.16 
RT,T,TOTAL,I20-I25,IE05	: 	: 	169.96 	164.22 	156.83 	147.08 	133.92 	131.25 
RT,T,TOTAL,I20-I25,IE06	: 	: 	140.95 	130.41 	125.56 	118.61 	113.04 	106.28 
RT,T,TOTAL,I20-I25,IS00	160.45 	150.41 	145.06 	135.86 	130.81 	125.84 	120.11 	112.38 
RT,T,TOTAL,I20-I25,ITC1	90.9 	87.94 	85.31 	81.67 	78.84 	73.95 	71.89 	71.95 
RT,T,TOTAL,I20-I25,ITC2	92.49 	86.72 	81.58 	75.95 	76.87 	77.81 	77.71 	75.25 
RT,T,TOTAL,I20-I25,ITC3	105.05 	99.82 	93.49 	87.86 	83.58 	79.02 	75.56 	74.2 
RT,T,TOTAL,I20-I25,ITC4	101.83 	96.43 	92.23 	87.54 	84.17 	77.98 	74.71 	73.98 
RT,T,TOTAL,I20-I25,ITF1	129.3 	126.03 	124.26 	120.33 	117.63 	109.7 	103.66 	98.67 
RT,T,TOTAL,I20-I25,ITF2	128.54 	126.56 	129.42 	121.69 	116.5 	106.99 	105.39 	98.4 
RT,T,TOTAL,I20-I25,ITF3	148.88 	142.84 	142.9 	138.62 	135.55 	126.27 	122.09 	118.99 
RT,T,TOTAL,I20-I25,ITF4	107.69 	103.49 	100.77 	96.07 	94.19 	88.13 	86.07 	83.75 
RT,T,TOTAL,I20-I25,ITF5	111.79 	108.56 	102.09 	98.85 	98.44 	93.46 	88.96 	84.52 
RT,T,TOTAL,I20-I25,ITF6	106.3 	104.76 	101.57 	99.4 	97.27 	92.96 	90.6 	87.27 
RT,T,TOTAL,I20-I25,ITG1	112.77 	107.47 	103.25 	97.95 	95.42 	90.12 	87.92 	83.84 
RT,T,TOTAL,I20-I25,ITG2	88.81 	82.22 	77.18 	72.77 	70.89 	66.74 	64.13 	60.44 
RT,T,TOTAL,I20-I25,ITH1	104.69 	99.82 	92.03 	84.93 	81.4 	75.32 	74.38 	68.58 
RT,T,TOTAL,I20-I25,ITH2	116.46 	108.88 	105.74 	98.76 	95.39 	84.83 	78.98 	73.96 
RT,T,TOTAL,I20-I25,ITH3	105.17 	98.94 	93.47 	89.88 	86.73 	80.88 	75.78 	72.67 
RT,T,TOTAL,I20-I25,ITH4	114.07 	109.59 	106.73 	100.77 	96.46 	88.86 	84.69 	82.11 
RT,T,TOTAL,I20-I25,ITH5	104.89 	98.37 	92.63 	86.72 	82.87 	76.83 	73.07 	69.24 
RT,T,TOTAL,I20-I25,ITI1	96.46 	89.27 	84.96 	79.98 	77.03 	70.54 	66.36 	62.59 
RT,T,TOTAL,I20-I25,ITI2	127.04 	120.57 	115.02 	107.14 	103.68 	93.61 	88.14 	80.55 
RT,T,TOTAL,I20-I25,ITI3	115.98 	109.13 	106.28 	102.54 	100.48 	93.79 	88.18 	85.12 
RT,T,TOTAL,I20-I25,ITI4	127.11 	119.18 	115.85 	111.02 	107.4 	99.69 	95.36 	90.76 
RT,T,TOTAL,I20-I25,LI00	119.68 	93.57 	80.89 	69.81 	61.58 	67.57 	62.73 	65.63 
RT,T,TOTAL,I20-I25,LT01	509.12 	508.13 	513.79 	506.37 	476.97 	444.63 	406.4 	399.6 
RT,T,TOTAL,I20-I25,LT02	615.27 	603.52 	599.54 	589.85 	584.35 	558.2 	528.62 	515.42 
RT,T,TOTAL,I20-I25,LU00	88.28 	84.27 	81.43 	80.05 	78.04 	77.95 	69.43 	63.95 
RT,T,TOTAL,I20-I25,LV00	474.07 	461.95 	447.28 	425.61 	399.85 	375 	353.81 	343.26 
RT,T,TOTAL,I20-I25,MT00	258.13 	238.78 	208.33 	196.26 	191.23 	174.04 	168.46 	159.21 
RT,T,TOTAL,I20-I25,NL11	79.28 	77.21 	73.63 	71.59 	66.24 	65.46 	63 	62.89 
RT,T,TOTAL,I20-I25,NL12	72.62 	69.81 	64.35 	65.05 	61.74 	60.62 	56.6 	55.76 
RT,T,TOTAL,I20-I25,NL13	69.87 	65.9 	63.46 	61.5 	57.38 	58.06 	58.31 	59.68 
RT,T,TOTAL,I20-I25,NL21	65.9 	60.69 	59.2 	58.29 	57.6 	56.97 	54.01 	51.92 
RT,T,TOTAL,I20-I25,NL22	70.97 	67.29 	62.63 	58.77 	56.83 	55.23 	53.98 	50.58 
RT,T,TOTAL,I20-I25,NL23	77.94 	69.57 	69.92 	64.75 	59.88 	57.66 	55.72 	57.33 
RT,T,TOTAL,I20-I25,NL31	64.93 	61.82 	58.76 	56.48 	53.87 	51.45 	51.84 	49.34 
RT,T,TOTAL,I20-I25,NL32	69.58 	64.51 	60.55 	58.21 	54.98 	52.69 	49.17 	48.75 
RT,T,TOTAL,I20-I25,NL33	67.06 	63.61 	61.71 	59.24 	57.51 	53.5 	51.09 	47.91 
RT,T,TOTAL,I20-I25,NL34	65.19 	61.57 	60.2 	55.81 	52.86 	50.08 	46.99 	46.48 
RT,T,TOTAL,I20-I25,NL41	68.74 	65.45 	62.03 	58.9 	56.28 	53.81 	52.39 	50.5 
RT,T,TOTAL,I20-I25,NL42	78.65 	73.82 	69.13 	62.98 	59.82 	56.55 	55.47 	55.27 
RT,T,TOTAL,I20-I25,NO01	102.08 	92.44 	86.95 	81.99 	78.06 	: 	: 	: 
RT,T,TOTAL,I20-I25,NO02	132.21 	126.33 	120.68 	119.06 	110.53 	98.93 	86.23 	80.27 
RT,T,TOTAL,I20-I25,NO03	113.33 	105.62 	97.4 	91.29 	87.51 	: 	: 	: 
RT,T,TOTAL,I20-I25,NO04	102.81 	94.57 	86.61 	82.3 	75.52 	: 	: 	: 
RT,T,TOTAL,I20-I25,NO05	115.01 	104.91 	100.12 	91.59 	86.98 	: 	: 	: 
RT,T,TOTAL,I20-I25,NO06	114.83 	107.22 	99.87 	94.06 	86.66 	82.13 	76.47 	71.03 
RT,T,TOTAL,I20-I25,NO07	124.75 	117.08 	108.58 	99.64 	90.99 	85.27 	79.99 	77.01 
RT,T,TOTAL,I20-I25,PL21	218.96 	214.74 	213.28 	204.09 	203.12 	201 	207.62 	214.79 
RT,T,TOTAL,I20-I25,PL22	201.28 	161.25 	150.08 	143.35 	153.15 	173.35 	193.62 	208.31 
RT,T,TOTAL,I20-I25,PL41	150.25 	116.58 	109.07 	100.01 	94.07 	89.41 	85.61 	83.77 
RT,T,TOTAL,I20-I25,PL42	159.16 	146.23 	133.33 	121.56 	116.87 	114.42 	109.11 	106.65 
RT,T,TOTAL,I20-I25,PL43	129.26 	110.99 	98.54 	92.27 	115.84 	119.07 	123.33 	101.65 
RT,T,TOTAL,I20-I25,PL51	176.35 	153.82 	109.64 	107.41 	104.27 	101.02 	101.59 	103.27 
RT,T,TOTAL,I20-I25,PL52	97.14 	90.33 	82.5 	69.08 	76.57 	115.04 	188.06 	235.08 
RT,T,TOTAL,I20-I25,PL61	105.08 	92.68 	81.92 	73.3 	87.06 	95.41 	107.14 	111.56 
RT,T,TOTAL,I20-I25,PL62	116.98 	108.8 	100.21 	100.98 	111.11 	117.14 	117.27 	110.28 
RT,T,TOTAL,I20-I25,PL63	172.03 	202.93 	206.04 	219.39 	253.37 	295.52 	325.32 	331.7 
RT,T,TOTAL,I20-I25,PL71	: 	: 	99.47 	92.78 	90.31 	85.08 	81.92 	81.93 
RT,T,TOTAL,I20-I25,PL72	: 	: 	76.08 	74.62 	87.26 	97.98 	99.61 	158 
RT,T,TOTAL,I20-I25,PL81	: 	: 	72.69 	73.9 	80.68 	85.03 	84.42 	125.6 
RT,T,TOTAL,I20-I25,PL82	: 	: 	79.29 	72.48 	95.18 	109.06 	133.88 	150.37 
RT,T,TOTAL,I20-I25,PL84	: 	: 	192 	194.1 	207.93 	219.35 	224.55 	241.74 
RT,T,TOTAL,I20-I25,PL91	: 	: 	150.08 	136.09 	117.58 	95.73 	77.9 	59.8 
RT,T,TOTAL,I20-I25,PL92	: 	: 	179.55 	188.38 	186.31 	135.86 	93.45 	71.38 
RT,T,TOTAL,I20-I25,PT11	48.39 	51.39 	53.81 	54.71 	52.79 	51.72 	51.28 	48.88 
RT,T,TOTAL,I20-I25,PT15	70.9 	68.74 	71.48 	71.62 	71.73 	74.42 	77.95 	79.65 
RT,T,TOTAL,I20-I25,PT16	50.25 	51.39 	50.51 	50.23 	49.47 	50.03 	48.42 	47.81 
RT,T,TOTAL,I20-I25,PT17	96.38 	93.71 	90.37 	89.64 	87.27 	85.11 	81.96 	78.22 
RT,T,TOTAL,I20-I25,PT18	86.58 	81.58 	78.68 	77.92 	75.87 	73.77 	72 	70.35 
RT,T,TOTAL,I20-I25,PT20	133.15 	130.33 	131.17 	130.59 	120.23 	109.6 	102.11 	98.89 
RT,T,TOTAL,I20-I25,PT30	61.68 	73.09 	80.64 	84.67 	80.16 	77.9 	78.26 	77.83 
RT,T,TOTAL,I20-I25,RO11	539.95 	517.96 	497.68 	478.07 	458.11 	436.84 	420.15 	430.23 
RT,T,TOTAL,I20-I25,RO12	491.22 	475.35 	467.3 	453.21 	441.9 	413.72 	386.73 	372.76 
RT,T,TOTAL,I20-I25,RO21	282.21 	277.05 	269.38 	262.64 	257.83 	251.59 	245.71 	251.31 
RT,T,TOTAL,I20-I25,RO22	236.42 	232.58 	229.36 	229.58 	230.32 	231.18 	239 	245.55 
RT,T,TOTAL,I20-I25,RO31	276.13 	271.52 	267.96 	267.06 	263.33 	257.35 	257.01 	267.72 
RT,T,TOTAL,I20-I25,RO32	285.11 	290.01 	296.88 	297.68 	288.54 	278.02 	279.28 	298.59 
RT,T,TOTAL,I20-I25,RO41	270.16 	267.9 	258.84 	242.09 	226.83 	217.37 	221.91 	230.17 
RT,T,TOTAL,I20-I25,RO42	408.11 	379.2 	365.35 	353.16 	343.65 	326.85 	312.31 	306.19 
RT,T,TOTAL,I20-I25,SE11	113.66 	108.48 	102.86 	95.65 	87.08 	81.44 	74.18 	68.75 
RT,T,TOTAL,I20-I25,SE12	152.21 	143.99 	135.87 	132.01 	124.69 	119.21 	109.97 	105.24 
RT,T,TOTAL,I20-I25,SE21	158.76 	147.57 	139.28 	133.32 	130.39 	121.75 	112.28 	108.33 
RT,T,TOTAL,I20-I25,SE22	145.75 	139.91 	130.05 	118.65 	113.44 	110.45 	107.84 	99.72 
RT,T,TOTAL,I20-I25,SE23	150 	140.82 	132.25 	125.99 	120.02 	114.36 	107.21 	100.7 
RT,T,TOTAL,I20-I25,SE31	160.82 	153.51 	141.62 	132.74 	125.47 	119.41 	112.63 	104.23 
RT,T,TOTAL,I20-I25,SE32	169.58 	157.49 	145.44 	137.88 	130.65 	123.73 	114.19 	109.11 
RT,T,TOTAL,I20-I25,SE33	176.31 	168.53 	157.78 	146.65 	136.66 	130.57 	124.9 	121.79 
RT,T,TOTAL,I20-I25,SI03	: 	: 	113.73 	111.45 	110.73 	103.68 	100.43 	96.69 
RT,T,TOTAL,I20-I25,SI04	: 	: 	99.54 	93.45 	91.69 	88.07 	85.4 	79.1 
RT,T,TOTAL,I20-I25,SK01	380 	388.58 	386.74 	375.58 	357.53 	334.07 	319.71 	317.78 
RT,T,TOTAL,I20-I25,SK02	428.84 	402.97 	398.41 	374.85 	367.12 	343.5 	333.41 	348.8 
RT,T,TOTAL,I20-I25,SK03	425.8 	417.59 	415.19 	396.67 	398.42 	383.68 	384.45 	388.04 
RT,T,TOTAL,I20-I25,SK04	462.07 	441.94 	415.22 	376.09 	370.61 	348.06 	330.51 	319.54 
RT,T,TOTAL,I20-I25,TR10	152.01 	160.9 	179.22 	183.71 	177.87 	173.65 	153.33 	: 
RT,T,TOTAL,I20-I25,TR21	163.07 	186.89 	209.63 	218.29 	228.96 	244.61 	225.3 	: 
RT,T,TOTAL,I20-I25,TR22	157.34 	185.74 	217.56 	219.51 	220.77 	226.19 	213.76 	: 
RT,T,TOTAL,I20-I25,TR31	162.08 	183.38 	212.56 	219.67 	227.5 	236.26 	217.11 	: 
RT,T,TOTAL,I20-I25,TR32	139.24 	178.39 	231.1 	245.07 	240.2 	229.56 	202.43 	: 
RT,T,TOTAL,I20-I25,TR33	190.29 	208.92 	237.75 	243.6 	242.84 	241.26 	217.06 	: 
RT,T,TOTAL,I20-I25,TR41	193.4 	225.57 	271.28 	278.66 	273.88 	274.46 	251.35 	: 
RT,T,TOTAL,I20-I25,TR42	143.82 	150.92 	164.46 	170.2 	170.25 	174.38 	153.54 	: 
RT,T,TOTAL,I20-I25,TR51	163.07 	162.69 	173.55 	184.61 	193.45 	206.21 	177.08 	: 
RT,T,TOTAL,I20-I25,TR52	147.76 	156.84 	168.65 	167.24 	167.68 	171.24 	157.49 	: 
RT,T,TOTAL,I20-I25,TR61	160.71 	170.83 	183.31 	179.55 	176.48 	181.52 	163.89 	: 
RT,T,TOTAL,I20-I25,TR62	160.65 	186.65 	219.29 	241.13 	246.86 	275.05 	246.61 	: 
RT,T,TOTAL,I20-I25,TR63	150.69 	167.01 	190.51 	197.7 	196.97 	198.57 	181.97 	: 
RT,T,TOTAL,I20-I25,TR71	191.34 	192.8 	207.92 	208.76 	208.76 	211.42 	192.13 	: 
RT,T,TOTAL,I20-I25,TR72	162.61 	192.39 	221.93 	217.17 	197.47 	181.54 	159.36 	: 
RT,T,TOTAL,I20-I25,TR81	157.98 	169.73 	177.74 	179.54 	182.08 	188.05 	170.15 	: 
RT,T,TOTAL,I20-I25,TR82	132.99 	148.96 	166.62 	171.8 	177.2 	177.59 	158.36 	: 
RT,T,TOTAL,I20-I25,TR83	148.73 	174.64 	208.06 	215.08 	211.36 	199.93 	172.47 	: 
RT,T,TOTAL,I20-I25,TR90	122.79 	138.54 	160.49 	161.44 	155.21 	144.83 	128.23 	: 
RT,T,TOTAL,I20-I25,TRA1	159.18 	155.79 	174.59 	175.75 	171.74 	170.13 	155.99 	: 
RT,T,TOTAL,I20-I25,TRA2	112.49 	150.41 	188.08 	190.96 	173.66 	168.94 	149.82 	: 
RT,T,TOTAL,I20-I25,TRB1	153.34 	168.25 	182.89 	188.94 	181.28 	181.42 	158.47 	: 
RT,T,TOTAL,I20-I25,TRB2	97.34 	137.18 	174.86 	179.04 	164.61 	155.29 	130.98 	: 
RT,T,TOTAL,I20-I25,TRC1	159.17 	166.4 	188.08 	193.78 	198.31 	207.68 	205.2 	: 
RT,T,TOTAL,I20-I25,TRC2	145.17 	146.06 	159.95 	164.03 	161.02 	160.44 	141.56 	: 
RT,T,TOTAL,I20-I25,TRC3	119.49 	137.96 	157.03 	166.02 	161.46 	169.98 	150.07 	: 
RT,T,TOTAL,I20-I25,UKC1	134.13 	130.71 	128.37 	127.01 	125.01 	120.24 	: 	: 
RT,T,TOTAL,I20-I25,UKC2	131.78 	128.82 	124.19 	119.96 	114.95 	108.81 	: 	: 
RT,T,TOTAL,I20-I25,UKD1	140.32 	134.48 	125.84 	118.28 	117.01 	113.23 	: 	: 
RT,T,TOTAL,I20-I25,UKD3	156.74 	152.35 	147.36 	144.19 	141.99 	136.13 	: 	: 
RT,T,TOTAL,I20-I25,UKD4	153.57 	145.61 	138.01 	132.56 	129.49 	126.39 	: 	: 
RT,T,TOTAL,I20-I25,UKD6	127.29 	119.13 	110.97 	105.68 	101.88 	99.02 	: 	: 
RT,T,TOTAL,I20-I25,UKD7	133.67 	128.35 	121.95 	112.99 	111.14 	107.64 	: 	: 
RT,T,TOTAL,I20-I25,UKE1	144.95 	141.94 	136.65 	129.73 	124.71 	120.27 	: 	: 
RT,T,TOTAL,I20-I25,UKE2	127.68 	122.09 	118.3 	113.09 	110.35 	102.52 	: 	: 
RT,T,TOTAL,I20-I25,UKE3	147.82 	141.69 	134.87 	127.89 	122.83 	118.87 	: 	: 
RT,T,TOTAL,I20-I25,UKE4	148.67 	145.59 	141.58 	138.36 	137.41 	132.78 	: 	: 
RT,T,TOTAL,I20-I25,UKF1	137.08 	132.12 	125.46 	117.55 	112.82 	106.39 	: 	: 
RT,T,TOTAL,I20-I25,UKF2	126.91 	123.02 	117.08 	111.41 	104.28 	99.05 	: 	: 
RT,T,TOTAL,I20-I25,UKF3	139.5 	135.59 	130.04 	122.77 	117.84 	111.42 	: 	: 
RT,T,TOTAL,I20-I25,UKG1	117.31 	112.07 	103.95 	97.6 	94.4 	94.23 	: 	: 
RT,T,TOTAL,I20-I25,UKG2	128.13 	123.68 	119.84 	116.06 	115.35 	110.34 	: 	: 
RT,T,TOTAL,I20-I25,UKG3	135.5 	133.04 	130.65 	126.66 	125.5 	122.5 	: 	: 
RT,T,TOTAL,I20-I25,UKH1	115.39 	112.75 	108.89 	102.14 	98.95 	93.84 	: 	: 
RT,T,TOTAL,I20-I25,UKH2	118.99 	112.25 	105.98 	98.97 	94.22 	88.1 	: 	: 
RT,T,TOTAL,I20-I25,UKH3	121.42 	116.58 	108.81 	104.31 	100.04 	96.3 	: 	: 
RT,T,TOTAL,I20-I25,UKI3	103.51 	99.56 	94.94 	86.42 	82.71 	74.99 	: 	: 
RT,T,TOTAL,I20-I25,UKI4	130.98 	126.86 	123.26 	114.69 	113.22 	105.4 	: 	: 
RT,T,TOTAL,I20-I25,UKI5	120.76 	119 	114.71 	110.09 	105.13 	95.95 	: 	: 
RT,T,TOTAL,I20-I25,UKI6	114.81 	108.57 	104.2 	98.76 	91.85 	86.73 	: 	: 
RT,T,TOTAL,I20-I25,UKI7	117.05 	113.6 	111.35 	105.28 	103.47 	98.08 	: 	: 
RT,T,TOTAL,I20-I25,UKJ1	110.88 	106.94 	100.47 	94.04 	87.83 	83.51 	: 	: 
RT,T,TOTAL,I20-I25,UKJ2	100.84 	96.73 	93.33 	90.66 	86.78 	82.28 	: 	: 
RT,T,TOTAL,I20-I25,UKJ3	108.51 	105.02 	101.49 	97.06 	93.63 	89.17 	: 	: 
RT,T,TOTAL,I20-I25,UKJ4	118.64 	111.99 	107.32 	101.93 	95.43 	90.16 	: 	: 
RT,T,TOTAL,I20-I25,UKK1	115.21 	111.65 	108.01 	100.62 	97.17 	93.39 	: 	: 
RT,T,TOTAL,I20-I25,UKK2	107.43 	104.35 	101.95 	96.38 	94.41 	88.78 	: 	: 
RT,T,TOTAL,I20-I25,UKK3	123.48 	120.78 	123.42 	118.61 	113.89 	110.55 	: 	: 
RT,T,TOTAL,I20-I25,UKK4	115.99 	112.04 	106.91 	103.56 	101.17 	98.02 	: 	: 
RT,T,TOTAL,I20-I25,UKL1	154.32 	146.68 	140.13 	132.73 	128.84 	122.55 	: 	: 
RT,T,TOTAL,I20-I25,UKL2	125.98 	122.83 	119.19 	115.46 	112.27 	109 	: 	: 
RT,T,TOTAL,I20-I25,UKM5	148.83 	141.9 	132.54 	127.79 	125.54 	126.58 	: 	: 
RT,T,TOTAL,I20-I25,UKM6	149.32 	136.61 	135.24 	131.38 	131.82 	126.72 	: 	: 
RT,T,TOTAL,I20-I25,UKM7	151.37 	143.41 	138.82 	134.25 	131.5 	124.17 	: 	: 
RT,T,TOTAL,I20-I25,UKM8	168.64 	161.18 	152.91 	146.98 	143.86 	137.86 	: 	: 
RT,T,TOTAL,I20-I25,UKM9	161.59 	158.05 	155.26 	147.64 	144.24 	137.37 	: 	: 
RT,T,TOTAL,I20-I25,UKN0	139.6 	132.95 	125.47 	116.76 	112.1 	103.48 	: 	: 
